Region,Year,PIN,Category
Eastern Africa,2005,113,crops
Eastern Africa,2004,113,crops
Eastern Africa,2003,104,crops
Eastern Africa,2002,106,crops
Eastern Africa,2001,104,crops
Eastern Africa,2000,98,crops
Eastern Africa,1999,97,crops
Eastern Africa,1998,93,crops
Eastern Africa,1997,90,crops
Eastern Africa,1996,89,crops
Eastern Africa,1995,83,crops
Eastern Africa,1994,78,crops
Eastern Africa,1993,81,crops
Eastern Africa,1992,77,crops
Eastern Africa,1991,82,crops
Eastern Africa,1990,80,crops
Eastern Africa,1989,79,crops
Eastern Africa,1988,77,crops
Eastern Africa,1987,73,crops
Eastern Africa,1986,73,crops
Eastern Africa,1985,71,crops
Eastern Africa,1984,67,crops
Eastern Africa,1983,69,crops
Eastern Africa,1982,68,crops
Eastern Africa,1981,66,crops
Eastern Africa,1980,64,crops
Eastern Africa,1979,63,crops
Eastern Africa,1978,66,crops
Eastern Africa,1977,67,crops
Eastern Africa,1976,66,crops
Eastern Africa,1975,65,crops
Eastern Africa,1974,63,crops
Eastern Africa,1973,61,crops
Eastern Africa,1972,61,crops
Eastern Africa,1971,59,crops
Eastern Africa,1970,57,crops
Eastern Africa,1969,54,crops
Eastern Africa,1968,50,crops
Eastern Africa,1967,49,crops
Eastern Africa,1966,46,crops
Eastern Africa,1965,44,crops
Eastern Africa,1964,44,crops
Eastern Africa,1963,42,crops
Eastern Africa,1962,41,crops
Eastern Africa,1961,40,crops
Eastern Asia,2007,121,crops
Eastern Asia,2006,118,crops
Eastern Asia,2005,116,crops
Eastern Asia,2004,114,crops
Eastern Asia,2003,106,crops
Eastern Asia,2002,107,crops
Eastern Asia,2001,102,crops
Eastern Asia,2000,100,crops
Eastern Asia,1999,96,crops
Eastern Asia,1998,93,crops
Eastern Asia,1997,92,crops
Eastern Asia,1996,90,crops
Eastern Asia,1995,84,crops
Eastern Asia,1994,79,crops
Eastern Asia,1993,78,crops
Eastern Asia,1992,74,crops
Eastern Asia,1991,72,crops
Eastern Asia,1990,71,crops
Eastern Asia,1989,66,crops
Eastern Asia,1988,65,crops
Eastern Asia,1987,65,crops
Eastern Asia,1986,62,crops
Eastern Asia,1985,61,crops
Eastern Asia,1984,63,crops
Eastern Asia,1983,58,crops
Eastern Asia,1982,55,crops
Eastern Asia,1981,50,crops
Eastern Asia,1980,48,crops
Eastern Asia,1979,49,crops
Eastern Asia,1978,48,crops
Eastern Asia,1977,44,crops
Eastern Asia,1976,43,crops
Eastern Asia,1975,44,crops
Eastern Asia,1974,42,crops
Eastern Asia,1973,42,crops
Eastern Asia,1972,38,crops
Eastern Asia,1971,39,crops
Eastern Asia,1970,38,crops
Eastern Asia,1969,36,crops
Eastern Asia,1968,36,crops
Eastern Asia,1967,36,crops
Eastern Asia,1966,36,crops
Eastern Asia,1965,33,crops
Eastern Asia,1964,31,crops
Eastern Asia,1963,29,crops
Eastern Asia,1962,29,crops
Eastern Asia,1961,28,crops
Eastern Europe,2007,108,crops
Eastern Europe,2006,112,crops
Eastern Europe,2005,113,crops
Eastern Europe,2004,119,crops
Eastern Europe,2003,97,crops
Eastern Europe,2002,106,crops
Eastern Europe,2001,109,crops
Eastern Europe,2000,97,crops
Eastern Europe,1999,92,crops
Eastern Europe,1998,93,crops
Eastern Europe,1997,109,crops
Eastern Europe,1996,103,crops
Eastern Europe,1995,106,crops
Eastern Europe,1994,101,crops
Eastern Europe,1993,121,crops
Eastern Europe,1992,114,crops
Eastern Europe,1991,141,crops
Eastern Europe,1990,161,crops
Eastern Europe,1989,163,crops
Eastern Europe,1988,155,crops
Eastern Europe,1987,159,crops
Eastern Europe,1986,168,crops
Eastern Europe,1985,156,crops
Eastern Europe,1984,161,crops
Eastern Europe,1983,159,crops
Eastern Europe,1982,159,crops
Eastern Europe,1981,146,crops
Eastern Europe,1980,146,crops
Eastern Europe,1979,156,crops
Eastern Europe,1978,170,crops
Eastern Europe,1977,156,crops
Eastern Europe,1976,165,crops
Eastern Europe,1975,139,crops
Eastern Europe,1974,151,crops
Eastern Europe,1973,168,crops
Eastern Europe,1972,139,crops
Eastern Europe,1971,144,crops
Eastern Europe,1970,146,crops
Eastern Europe,1969,136,crops
Eastern Europe,1968,146,crops
Eastern Europe,1967,137,crops
Eastern Europe,1966,138,crops
Eastern Europe,1965,119,crops
Eastern Europe,1964,130,crops
Eastern Europe,1963,106,crops
Eastern Europe,1962,108,crops
Eastern Europe,1961,112,crops
Europe,2007,99,crops
Europe,2006,101,crops
Europe,2005,103,crops
Europe,2004,110,crops
Europe,2003,95,crops
Europe,2002,101,crops
Europe,2001,101,crops
Europe,2000,99,crops
Europe,1999,98,crops
Europe,1998,96,crops
Europe,1997,102,crops
Europe,1996,99,crops
Europe,1995,95,crops
Europe,1994,93,crops
Europe,1993,102,crops
Europe,1992,101,crops
Europe,1991,109,crops
Europe,1990,116,crops
Europe,1989,118,crops
Europe,1988,113,crops
Europe,1987,116,crops
Europe,1986,119,crops
Europe,1985,114,crops
Europe,1984,117,crops
Europe,1983,112,crops
Europe,1982,115,crops
Europe,1981,105,crops
Europe,1980,108,crops
Europe,1979,111,crops
Europe,1978,113,crops
Europe,1977,105,crops
Europe,1976,107,crops
Europe,1975,100,crops
Europe,1974,106,crops
Europe,1973,113,crops
Europe,1972,98,crops
Europe,1971,101,crops
Europe,1970,101,crops
Europe,1969,96,crops
Europe,1968,101,crops
Europe,1967,97,crops
Europe,1966,95,crops
Europe,1965,88,crops
Europe,1964,92,crops
Europe,1963,84,crops
Europe,1962,83,crops
Europe,1961,81,crops
European Union,2007,92,crops
European Union,2006,94,crops
European Union,2005,98,crops
European Union,2004,106,crops
European Union,2003,93,crops
European Union,2002,98,crops
European Union,2001,99,crops
European Union,2000,100,crops
European Union,1999,99,crops
European Union,1998,97,crops
European Union,1997,98,crops
European Union,1996,97,crops
European Union,1995,90,crops
European Union,1994,89,crops
European Union,1993,93,crops
European Union,1992,91,crops
European Union,1991,91,crops
European Union,1990,92,crops
European Union,1989,95,crops
European Union,1988,92,crops
European Union,1987,94,crops
European Union,1986,94,crops
European Union,1985,92,crops
European Union,1984,96,crops
European Union,1983,87,crops
European Union,1982,92,crops
European Union,1981,85,crops
European Union,1980,86,crops
European Union,1979,89,crops
European Union,1978,85,crops
European Union,1977,79,crops
European Union,1976,80,crops
European Union,1975,80,crops
European Union,1974,84,crops
European Union,1973,84,crops
European Union,1972,79,crops
European Union,1971,77,crops
European Union,1970,78,crops
European Union,1969,75,crops
European Union,1968,78,crops
European Union,1967,77,crops
European Union,1966,73,crops
European Union,1965,72,crops
European Union,1964,72,crops
European Union,1963,72,crops
European Union,1962,69,crops
European Union,1961,65,crops
LandLocked developing countries,2007,125,crops
LandLocked developing countries,2006,122,crops
LandLocked developing countries,2005,119,crops
LandLocked developing countries,2004,114,crops
LandLocked developing countries,2003,112,crops
LandLocked developing countries,2002,107,crops
LandLocked developing countries,2001,106,crops
LandLocked developing countries,2000,96,crops
LandLocked developing countries,1999,96,crops
LandLocked developing countries,1998,90,crops
LandLocked developing countries,1997,89,crops
LandLocked developing countries,1996,87,crops
LandLocked developing countries,1995,85,crops
LandLocked developing countries,1994,85,crops
LandLocked developing countries,1993,89,crops
LandLocked developing countries,1992,85,crops
LandLocked developing countries,1991,45,crops
LandLocked developing countries,1990,43,crops
LandLocked developing countries,1989,43,crops
LandLocked developing countries,1988,42,crops
LandLocked developing countries,1987,38,crops
LandLocked developing countries,1986,38,crops
LandLocked developing countries,1985,38,crops
LandLocked developing countries,1984,34,crops
LandLocked developing countries,1983,34,crops
LandLocked developing countries,1982,34,crops
LandLocked developing countries,1981,34,crops
LandLocked developing countries,1980,32,crops
LandLocked developing countries,1979,32,crops
LandLocked developing countries,1978,34,crops
LandLocked developing countries,1977,34,crops
LandLocked developing countries,1976,34,crops
LandLocked developing countries,1975,34,crops
LandLocked developing countries,1974,33,crops
LandLocked developing countries,1973,30,crops
LandLocked developing countries,1972,30,crops
LandLocked developing countries,1971,29,crops
LandLocked developing countries,1970,29,crops
LandLocked developing countries,1969,28,crops
LandLocked developing countries,1968,25,crops
LandLocked developing countries,1967,25,crops
LandLocked developing countries,1966,23,crops
LandLocked developing countries,1965,23,crops
LandLocked developing countries,1964,23,crops
LandLocked developing countries,1963,22,crops
LandLocked developing countries,1962,22,crops
LandLocked developing countries,1961,20,crops
Least Developed Countries,2007,126,crops
Least Developed Countries,2006,124,crops
Least Developed Countries,2005,119,crops
Least Developed Countries,2004,112,crops
Least Developed Countries,2003,110,crops
Least Developed Countries,2002,106,crops
Least Developed Countries,2001,104,crops
Least Developed Countries,2000,98,crops
Least Developed Countries,1999,96,crops
Least Developed Countries,1998,91,crops
Least Developed Countries,1997,87,crops
Least Developed Countries,1996,87,crops
Least Developed Countries,1995,82,crops
Least Developed Countries,1994,79,crops
Least Developed Countries,1993,79,crops
Least Developed Countries,1992,77,crops
Least Developed Countries,1991,77,crops
Least Developed Countries,1990,74,crops
Least Developed Countries,1989,74,crops
Least Developed Countries,1988,72,crops
Least Developed Countries,1987,70,crops
Least Developed Countries,1986,70,crops
Least Developed Countries,1985,69,crops
Least Developed Countries,1984,65,crops
Least Developed Countries,1983,66,crops
Least Developed Countries,1982,65,crops
Least Developed Countries,1981,64,crops
Least Developed Countries,1980,61,crops
Least Developed Countries,1979,59,crops
Least Developed Countries,1978,61,crops
Least Developed Countries,1977,60,crops
Least Developed Countries,1976,59,crops
Least Developed Countries,1975,60,crops
Least Developed Countries,1974,57,crops
Least Developed Countries,1973,55,crops
Least Developed Countries,1972,54,crops
Least Developed Countries,1971,54,crops
Least Developed Countries,1970,55,crops
Least Developed Countries,1969,53,crops
Least Developed Countries,1968,51,crops
Least Developed Countries,1967,50,crops
Least Developed Countries,1966,46,crops
Least Developed Countries,1965,47,crops
Least Developed Countries,1964,47,crops
Least Developed Countries,1963,46,crops
Least Developed Countries,1962,44,crops
Least Developed Countries,1961,43,crops
Melanesia,2007,106,crops
Melanesia,2006,104,crops
Melanesia,2005,104,crops
Melanesia,2004,102,crops
Melanesia,2003,99,crops
Melanesia,2002,99,crops
Melanesia,2001,97,crops
Melanesia,2000,102,crops
Melanesia,1999,99,crops
Melanesia,1998,94,crops
Melanesia,1997,93,crops
Melanesia,1996,92,crops
Melanesia,1995,87,crops
Melanesia,1994,87,crops
Melanesia,1993,87,crops
Melanesia,1992,84,crops
Melanesia,1991,80,crops
Melanesia,1990,82,crops
Melanesia,1989,81,crops
Melanesia,1988,79,crops
Melanesia,1987,78,crops
Melanesia,1986,80,crops
Melanesia,1985,79,crops
Melanesia,1984,79,crops
Melanesia,1983,71,crops
Melanesia,1982,72,crops
Melanesia,1981,71,crops
Melanesia,1980,69,crops
Melanesia,1979,68,crops
Melanesia,1978,66,crops
Melanesia,1977,63,crops
Melanesia,1976,61,crops
Melanesia,1975,59,crops
Melanesia,1974,59,crops
Melanesia,1973,56,crops
Melanesia,1972,55,crops
Melanesia,1971,55,crops
Melanesia,1970,55,crops
Melanesia,1969,53,crops
Melanesia,1968,52,crops
Melanesia,1967,49,crops
Melanesia,1966,48,crops
Melanesia,1965,47,crops
Melanesia,1964,47,crops
Melanesia,1963,46,crops
Melanesia,1962,44,crops
Melanesia,1961,41,crops
Micronesia,2007,123,crops
Micronesia,2006,118,crops
Micronesia,2005,117,crops
Micronesia,2004,117,crops
Micronesia,2003,109,crops
Micronesia,2002,102,crops
Micronesia,2001,97,crops
Micronesia,2000,96,crops
Micronesia,1999,105,crops
Micronesia,1998,106,crops
Micronesia,1997,108,crops
Micronesia,1996,108,crops
Micronesia,1995,100,crops
Micronesia,1994,71,crops
Micronesia,1993,70,crops
Micronesia,1992,72,crops
Micronesia,1991,68,crops
Micronesia,1990,111,crops
Micronesia,1989,118,crops
Micronesia,1988,137,crops
Micronesia,1987,146,crops
Micronesia,1986,142,crops
Micronesia,1985,138,crops
Micronesia,1984,130,crops
Micronesia,1983,111,crops
Micronesia,1982,114,crops
Micronesia,1981,128,crops
Micronesia,1980,126,crops
Micronesia,1979,140,crops
Micronesia,1978,142,crops
Micronesia,1977,118,crops
Micronesia,1976,97,crops
Micronesia,1975,98,crops
Micronesia,1974,103,crops
Micronesia,1973,94,crops
Micronesia,1972,94,crops
Micronesia,1971,103,crops
Micronesia,1970,96,crops
Micronesia,1969,83,crops
Micronesia,1968,72,crops
Micronesia,1967,87,crops
Micronesia,1966,84,crops
Micronesia,1965,84,crops
Micronesia,1964,75,crops
Micronesia,1963,74,crops
Micronesia,1962,75,crops
Micronesia,1961,76,crops
Middle Africa,2007,110,crops
Middle Africa,2006,114,crops
Middle Africa,2005,113,crops
Middle Africa,2004,109,crops
Middle Africa,2003,107,crops
Middle Africa,2002,104,crops
Middle Africa,2001,103,crops
Middle Africa,2000,99,crops
Middle Africa,1999,97,crops
Middle Africa,1998,99,crops
Middle Africa,1997,94,crops
Middle Africa,1996,96,crops
Middle Africa,1995,93,crops
Middle Africa,1994,100,crops
Middle Africa,1993,93,crops
Middle Africa,1992,94,crops
Middle Africa,1991,93,crops
Middle Africa,1990,89,crops
Middle Africa,1989,87,crops
Middle Africa,1988,85,crops
Middle Africa,1987,81,crops
Middle Africa,1986,84,crops
Middle Africa,1985,81,crops
Middle Africa,1984,77,crops
Middle Africa,1983,77,crops
Middle Africa,1982,75,crops
Middle Africa,1981,72,crops
Middle Africa,1980,72,crops
Middle Africa,1979,70,crops
Middle Africa,1978,68,crops
Middle Africa,1977,70,crops
Middle Africa,1976,70,crops
Middle Africa,1975,72,crops
Middle Africa,1974,72,crops
Middle Africa,1973,69,crops
Middle Africa,1972,67,crops
Middle Africa,1971,67,crops
Middle Africa,1970,66,crops
Middle Africa,1969,64,crops
Middle Africa,1968,63,crops
Middle Africa,1967,60,crops
Middle Africa,1966,57,crops
Middle Africa,1965,56,crops
Middle Africa,1964,56,crops
Middle Africa,1963,55,crops
Middle Africa,1962,54,crops
Middle Africa,1961,51,crops
Northern Africa,2007,119,crops
Northern Africa,2006,130,crops
Northern Africa,2005,120,crops
Northern Africa,2004,120,crops
Northern Africa,2003,117,crops
Northern Africa,2002,104,crops
Northern Africa,2001,101,crops
Northern Africa,2000,98,crops
Northern Africa,1999,100,crops
Northern Africa,1998,98,crops
Northern Africa,1997,92,crops
Northern Africa,1996,104,crops
Northern Africa,1995,80,crops
Northern Africa,1994,82,crops
Northern Africa,1993,79,crops
Northern Africa,1992,80,crops
Northern Africa,1991,82,crops
Northern Africa,1990,72,crops
Northern Africa,1989,70,crops
Northern Africa,1988,68,crops
Northern Africa,1987,68,crops
Northern Africa,1986,69,crops
Northern Africa,1985,65,crops
Northern Africa,1984,57,crops
Northern Africa,1983,57,crops
Northern Africa,1982,56,crops
Northern Africa,1981,55,crops
Northern Africa,1980,57,crops
Northern Africa,1979,55,crops
Northern Africa,1978,53,crops
Northern Africa,1977,51,crops
Northern Africa,1976,54,crops
Northern Africa,1975,55,crops
Northern Africa,1974,54,crops
Northern Africa,1973,50,crops
Northern Africa,1972,50,crops
Northern Africa,1971,52,crops
Northern Africa,1970,48,crops
Northern Africa,1969,46,crops
Northern Africa,1968,47,crops
Northern Africa,1967,41,crops
Northern Africa,1966,39,crops
Northern Africa,1965,45,crops
Northern Africa,1964,42,crops
Northern Africa,1963,44,crops
Northern Africa,1962,41,crops
Northern Africa,1961,35,crops
Northern America,2007,109,crops
Northern America,2006,102,crops
Northern America,2005,107,crops
Northern America,2004,110,crops
Northern America,2003,98,crops
Northern America,2002,91,crops
Northern America,2001,97,crops
Northern America,2000,101,crops
Northern America,1999,100,crops
Northern America,1998,99,crops
Northern America,1997,99,crops
Northern America,1996,96,crops
Northern America,1995,87,crops
Northern America,1994,99,crops
Northern America,1993,82,crops
Northern America,1992,93,crops
Northern America,1991,84,crops
Northern America,1990,87,crops
Northern America,1989,80,crops
Northern America,1988,68,crops
Northern America,1987,80,crops
Northern America,1986,81,crops
Northern America,1985,87,crops
Northern America,1984,81,crops
Northern America,1983,65,crops
Northern America,1982,86,crops
Northern America,1981,85,crops
Northern America,1980,74,crops
Northern America,1979,81,crops
Northern America,1978,74,crops
Northern America,1977,73,crops
Northern America,1976,68,crops
Northern America,1975,67,crops
Northern America,1974,59,crops
Northern America,1973,65,crops
Northern America,1972,61,crops
Northern America,1971,61,crops
Northern America,1970,53,crops
Northern America,1969,56,crops
Northern America,1968,56,crops
Northern America,1967,53,crops
Northern America,1966,52,crops
Northern America,1965,52,crops
Northern America,1964,48,crops
Northern America,1963,50,crops
Northern America,1962,48,crops
Northern America,1961,46,crops
Northern Europe,2007,94,crops
Northern Europe,2006,93,crops
Northern Europe,2005,100,crops
Northern Europe,2004,101,crops
Northern Europe,2003,99,crops
Northern Europe,2002,101,crops
Northern Europe,2001,94,crops
Northern Europe,2000,104,crops
Northern Europe,1999,101,crops
Northern Europe,1998,102,crops
Northern Europe,1997,107,crops
Northern Europe,1996,106,crops
Northern Europe,1995,96,crops
Northern Europe,1994,94,crops
Northern Europe,1993,102,crops
Northern Europe,1992,99,crops
Northern Europe,1991,91,crops
Northern Europe,1990,96,crops
Northern Europe,1989,91,crops
Northern Europe,1988,86,crops
Northern Europe,1987,83,crops
Northern Europe,1986,90,crops
Northern Europe,1985,87,crops
Northern Europe,1984,97,crops
Northern Europe,1983,79,crops
Northern Europe,1982,85,crops
Northern Europe,1981,75,crops
Northern Europe,1980,76,crops
Northern Europe,1979,73,crops
Northern Europe,1978,74,crops
Northern Europe,1977,72,crops
Northern Europe,1976,62,crops
Northern Europe,1975,61,crops
Northern Europe,1974,72,crops
Northern Europe,1973,68,crops
Northern Europe,1972,66,crops
Northern Europe,1971,69,crops
Northern Europe,1970,67,crops
Northern Europe,1969,62,crops
Northern Europe,1968,65,crops
Northern Europe,1967,64,crops
Northern Europe,1966,60,crops
Northern Europe,1965,64,crops
Northern Europe,1964,63,crops
Northern Europe,1963,61,crops
Northern Europe,1962,59,crops
Northern Europe,1961,57,crops
Oceania,2007,73,crops
Oceania,2006,75,crops
Oceania,2005,103,crops
Oceania,2004,91,crops
Oceania,2003,98,crops
Oceania,2002,74,crops
Oceania,2001,102,crops
Oceania,2000,96,crops
Oceania,1999,100,crops
Oceania,1998,92,crops
Oceania,1997,85,crops
Oceania,1996,88,crops
Oceania,1995,74,crops
Oceania,1994,58,crops
Oceania,1993,70,crops
Oceania,1992,69,crops
Oceania,1991,58,crops
Oceania,1990,62,crops
Oceania,1989,60,crops
Oceania,1988,60,crops
Oceania,1987,56,crops
Oceania,1986,62,crops
Oceania,1985,61,crops
Oceania,1984,62,crops
Oceania,1983,62,crops
Oceania,1982,44,crops
Oceania,1981,54,crops
Oceania,1980,44,crops
Oceania,1979,51,crops
Oceania,1978,53,crops
Oceania,1977,39,crops
Oceania,1976,42,crops
Oceania,1975,42,crops
Oceania,1974,40,crops
Oceania,1973,41,crops
Oceania,1972,34,crops
Oceania,1971,37,crops
Oceania,1970,35,crops
Oceania,1969,36,crops
Oceania,1968,42,crops
Oceania,1967,30,crops
Oceania,1966,37,crops
Oceania,1965,28,crops
Oceania,1964,32,crops
Oceania,1963,29,crops
Oceania,1962,28,crops
Oceania,1961,24,crops
Polynesia,2007,108,crops
Polynesia,2006,106,crops
Polynesia,2005,106,crops
Polynesia,2004,102,crops
Polynesia,2003,103,crops
Polynesia,2002,104,crops
Polynesia,2001,100,crops
Polynesia,2000,101,crops
Polynesia,1999,97,crops
Polynesia,1998,98,crops
Polynesia,1997,103,crops
Polynesia,1996,100,crops
Polynesia,1995,96,crops
Polynesia,1994,93,crops
Polynesia,1993,103,crops
Polynesia,1992,86,crops
Polynesia,1991,94,crops
Polynesia,1990,103,crops
Polynesia,1989,108,crops
Polynesia,1988,111,crops
Polynesia,1987,119,crops
Polynesia,1986,127,crops
Polynesia,1985,125,crops
Polynesia,1984,116,crops
Polynesia,1983,122,crops
Polynesia,1982,138,crops
Polynesia,1981,137,crops
Polynesia,1980,144,crops
Polynesia,1979,134,crops
Polynesia,1978,124,crops
Polynesia,1977,136,crops
Polynesia,1976,141,crops
Polynesia,1975,146,crops
Polynesia,1974,136,crops
Polynesia,1973,131,crops
Polynesia,1972,138,crops
Polynesia,1971,141,crops
Polynesia,1970,132,crops
Polynesia,1969,145,crops
Polynesia,1968,130,crops
Polynesia,1967,128,crops
Polynesia,1966,134,crops
Polynesia,1965,131,crops
Polynesia,1964,140,crops
Polynesia,1963,140,crops
Polynesia,1962,136,crops
Polynesia,1961,133,crops
Small Island Developing States,2007,97,crops
Small Island Developing States,2006,96,crops
Small Island Developing States,2005,99,crops
Small Island Developing States,2004,109,crops
Small Island Developing States,2003,108,crops
Small Island Developing States,2002,105,crops
Small Island Developing States,2001,103,crops
Small Island Developing States,2000,102,crops
Small Island Developing States,1999,94,crops
Small Island Developing States,1998,90,crops
Small Island Developing States,1997,93,crops
Small Island Developing States,1996,94,crops
Small Island Developing States,1995,86,crops
Small Island Developing States,1994,87,crops
Small Island Developing States,1993,89,crops
Small Island Developing States,1992,99,crops
Small Island Developing States,1991,101,crops
Small Island Developing States,1990,103,crops
Small Island Developing States,1989,105,crops
Small Island Developing States,1988,103,crops
Small Island Developing States,1987,101,crops
Small Island Developing States,1986,101,crops
Small Island Developing States,1985,100,crops
Small Island Developing States,1984,103,crops
Small Island Developing States,1983,97,crops
Small Island Developing States,1982,100,crops
Small Island Developing States,1981,96,crops
Small Island Developing States,1980,92,crops
Small Island Developing States,1979,97,crops
Small Island Developing States,1978,95,crops
Small Island Developing States,1977,89,crops
Small Island Developing States,1976,87,crops
Small Island Developing States,1975,83,crops
Small Island Developing States,1974,85,crops
Small Island Developing States,1973,81,crops
Small Island Developing States,1972,79,crops
Small Island Developing States,1971,81,crops
Small Island Developing States,1970,90,crops
Small Island Developing States,1969,74,crops
Small Island Developing States,1968,73,crops
Small Island Developing States,1967,77,crops
Small Island Developing States,1966,72,crops
Small Island Developing States,1965,75,crops
Small Island Developing States,1964,71,crops
Small Island Developing States,1963,69,crops
Small Island Developing States,1962,70,crops
Small Island Developing States,1961,76,crops
South America,2007,135,crops
South America,2006,124,crops
South America,2005,122,crops
South America,2004,119,crops
South America,2003,116,crops
South America,2002,107,crops
South America,2001,104,crops
South America,2000,98,crops
South America,1999,97,crops
South America,1998,91,crops
South America,1997,88,crops
South America,1996,84,crops
South America,1995,85,crops
South America,1994,81,crops
South America,1993,76,crops
South America,1992,77,crops
South America,1991,74,crops
South America,1990,72,crops
South America,1989,74,crops
South America,1988,74,crops
South America,1987,70,crops
South America,1986,66,crops
South America,1985,69,crops
South America,1984,64,crops
South America,1983,60,crops
South America,1982,62,crops
South America,1981,60,crops
South America,1980,56,crops
South America,1979,55,crops
South America,1978,52,crops
South America,1977,53,crops
South America,1976,50,crops
South America,1975,48,crops
South America,1974,48,crops
South America,1973,44,crops
South America,1972,43,crops
South America,1971,43,crops
South America,1970,41,crops
South America,1969,40,crops
South America,1968,39,crops
South America,1967,40,crops
South America,1966,37,crops
South America,1965,37,crops
South America,1964,35,crops
South America,1963,34,crops
South America,1962,33,crops
South America,1961,32,crops
South-Eastern Asia,2007,132,crops
South-Eastern Asia,2006,128,crops
South-Eastern Asia,2005,122,crops
South-Eastern Asia,2004,119,crops
South-Eastern Asia,2003,113,crops
South-Eastern Asia,2002,107,crops
South-Eastern Asia,2001,103,crops
South-Eastern Asia,2000,100,crops
South-Eastern Asia,1999,96,crops
South-Eastern Asia,1998,90,crops
South-Eastern Asia,1997,90,crops
South-Eastern Asia,1996,90,crops
South-Eastern Asia,1995,88,crops
South-Eastern Asia,1994,82,crops
South-Eastern Asia,1993,81,crops
South-Eastern Asia,1992,79,crops
South-Eastern Asia,1991,74,crops
South-Eastern Asia,1990,73,crops
South-Eastern Asia,1989,73,crops
South-Eastern Asia,1988,69,crops
South-Eastern Asia,1987,65,crops
South-Eastern Asia,1986,66,crops
South-Eastern Asia,1985,64,crops
South-Eastern Asia,1984,62,crops
South-Eastern Asia,1983,59,crops
South-Eastern Asia,1982,58,crops
South-Eastern Asia,1981,57,crops
South-Eastern Asia,1980,54,crops
South-Eastern Asia,1979,50,crops
South-Eastern Asia,1978,49,crops
South-Eastern Asia,1977,46,crops
South-Eastern Asia,1976,45,crops
South-Eastern Asia,1975,43,crops
South-Eastern Asia,1974,41,crops
South-Eastern Asia,1973,40,crops
South-Eastern Asia,1972,37,crops
South-Eastern Asia,1971,38,crops
South-Eastern Asia,1970,37,crops
South-Eastern Asia,1969,35,crops
South-Eastern Asia,1968,34,crops
South-Eastern Asia,1967,31,crops
South-Eastern Asia,1966,32,crops
South-Eastern Asia,1965,31,crops
South-Eastern Asia,1964,31,crops
South-Eastern Asia,1963,30,crops
South-Eastern Asia,1962,30,crops
South-Eastern Asia,1961,28,crops
Southern Africa,2007,94,crops
Southern Africa,2006,95,crops
Southern Africa,2005,107,crops
Southern Africa,2004,102,crops
Southern Africa,2003,100,crops
Southern Africa,2002,105,crops
Southern Africa,2001,97,crops
Southern Africa,2000,104,crops
Southern Africa,1999,97,crops
Southern Africa,1998,90,crops
Southern Africa,1997,98,crops
Southern Africa,1996,98,crops
Southern Africa,1995,75,crops
Southern Africa,1994,94,crops
Southern Africa,1993,83,crops
Southern Africa,1992,65,crops
Southern Africa,1991,87,crops
Southern Africa,1990,87,crops
Southern Africa,1989,97,crops
Southern Africa,1988,90,crops
Southern Africa,1987,85,crops
Southern Africa,1986,79,crops
Southern Africa,1985,78,crops
Southern Africa,1984,71,crops
Southern Africa,1983,62,crops
Southern Africa,1982,79,crops
Southern Africa,1981,96,crops
Southern Africa,1980,82,crops
Southern Africa,1979,74,crops
Southern Africa,1978,79,crops
Southern Africa,1977,74,crops
Southern Africa,1976,69,crops
Southern Africa,1975,71,crops
Southern Africa,1974,77,crops
Southern Africa,1973,54,crops
Southern Africa,1972,70,crops
Southern Africa,1971,66,crops
Southern Africa,1970,54,crops
Southern Africa,1969,55,crops
Southern Africa,1968,53,crops
Southern Africa,1967,66,crops
Southern Africa,1966,47,crops
Southern Africa,1965,43,crops
Southern Africa,1964,43,crops
Southern Africa,1963,46,crops
Southern Africa,1962,42,crops
Southern Africa,1961,42,crops
Southern Asia,2007,118,crops
Southern Asia,2006,112,crops
Southern Asia,2005,108,crops
Southern Asia,2004,102,crops
Southern Asia,2003,104,crops
Southern Asia,2002,94,crops
Southern Asia,2001,100,crops
Southern Asia,2000,99,crops
Southern Asia,1999,100,crops
Southern Asia,1998,95,crops
Southern Asia,1997,93,crops
Southern Asia,1996,92,crops
Southern Asia,1995,88,crops
Southern Asia,1994,86,crops
Southern Asia,1993,84,crops
Southern Asia,1992,82,crops
Southern Asia,1991,79,crops
Southern Asia,1990,78,crops
Southern Asia,1989,77,crops
Southern Asia,1988,72,crops
Southern Asia,1987,66,crops
Southern Asia,1986,67,crops
Southern Asia,1985,66,crops
Southern Asia,1984,64,crops
Southern Asia,1983,63,crops
Southern Asia,1982,58,crops
Southern Asia,1981,58,crops
Southern Asia,1980,54,crops
Southern Asia,1979,53,crops
Southern Asia,1978,55,crops
Southern Asia,1977,53,crops
Southern Asia,1976,49,crops
Southern Asia,1975,50,crops
Southern Asia,1974,45,crops
Southern Asia,1973,47,crops
Southern Asia,1972,44,crops
Southern Asia,1971,45,crops
Southern Asia,1970,45,crops
Southern Asia,1969,43,crops
Southern Asia,1968,41,crops
Southern Asia,1967,39,crops
Southern Asia,1966,36,crops
Southern Asia,1965,36,crops
Southern Asia,1964,38,crops
Southern Asia,1963,37,crops
Southern Asia,1962,36,crops
Southern Asia,1961,36,crops
Southern Europe,2007,95,crops
Southern Europe,2006,98,crops
Southern Europe,2005,97,crops
Southern Europe,2004,105,crops
Southern Europe,2003,97,crops
Southern Europe,2002,97,crops
Southern Europe,2001,99,crops
